,POSTCODE,COORDS,PERUS
76385,980,POINT (25506804.58203967 6676826.509434881),704
76386,980,POINT (25506804.58203967 6676826.509434881),704
76387,980,POINT (25506809.36650832 6676767.612689602),704
76388,980,POINT (25506809.36650832 6676767.612689602),704
76389,980,POINT (25506763.98131572 6676779.249529517),704
76390,980,POINT (25506763.98131572 6676779.249529517),704
76391,980,POINT (25506697.54205927 6676759.217359241),704
76392,980,POINT (25506697.54205927 6676759.217359241),704
76393,980,POINT (25506697.54205927 6676759.217359241),704
76394,980,POINT (25506697.54205927 6676759.217359241),704
76395,980,POINT (25506668.06132989 6676774.338409762),704
76396,980,POINT (25506668.06132989 6676774.338409762),704
76397,980,POINT (25506664.12309866 6676805.249177018),704
76398,980,POINT (25506664.12309866 6676805.249177018),704
76399,980,POINT (25506645.88215523 6676845.726877846),704
76400,980,POINT (25506645.88215523 6676845.726877846),704
76401,980,POINT (25506703.62690182 6676855.48077307),704
76402,980,POINT (25506703.62690182 6676855.48077307),704
76403,980,POINT (25506736.34894955 6676799.431732177),704
76404,980,POINT (25506736.34894955 6676799.431732177),704
76405,980,POINT (25506665.63466705 6676788.283273066),704
76406,980,POINT (25506665.63466705 6676788.283273066),704
76407,980,POINT (25506664.02981018 6676841.26979841),704
76408,980,POINT (25506664.02981018 6676841.26979841),704
76409,980,POINT (25506651.27461107 6676865.902965635),704
76410,980,POINT (25506651.27461107 6676865.902965635),704
76411,980,POINT (25506751.98137845 6676844.929396311),704
76412,980,POINT (25506751.98137845 6676844.929396311),704
76413,980,POINT (25506742.77386577 6676752.593133089),704
76414,980,POINT (25506742.77386577 6676752.593133089),704
76415,980,POINT (25506652.84978821 6676450.647369055),704
76416,980,POINT (25506652.84978821 6676450.647369055),704
76417,980,POINT (25506658.1817821 6676406.770323314),704
76418,980,POINT (25506658.1817821 6676406.770323314),704
76419,980,POINT (25506608.77000782 6676419.293099436),704
76420,980,POINT (25506608.77000782 6676419.293099436),704
76421,980,POINT (25506624.43265144 6676397.751275633),704
76422,980,POINT (25506624.43265144 6676397.751275633),704
76423,980,POINT (25506541.14648755 6676471.280912624),704
76424,980,POINT (25506551.08296456 6676506.606385535),704
76425,980,POINT (25506518.54377451 6676556.652065242),704
76426,980,POINT (25506518.54377451 6676556.652065242),704
76427,980,POINT (25506551.23249108 6676534.627762149),704
76428,980,POINT (25506551.23249108 6676534.627762149),704
76429,980,POINT (25506607.89151499 6676712.471449591),704
76430,980,POINT (25506607.89151499 6676712.471449591),704
76431,980,POINT (25506607.89151499 6676712.471449591),704
76432,980,POINT (25506595.07665025 6676607.00427611),704
76433,980,POINT (25506595.07665025 6676607.00427611),704
76434,980,POINT (25506671.42539474 6676696.386775004),704
76435,980,POINT (25506642.30657692 6676600.438113507),704
76436,980,POINT (25506654.69796498 6676620.827450175),704
76437,980,POINT (25506658.66964524 6676721.019911931),704
76438,980,POINT (25506667.84721515 6676715.287548659),704
76439,980,POINT (25506520.02851746 6676672.783556283),704
76440,980,POINT (25506520.02851746 6676672.783556283),704
76441,980,POINT (25506551.95971111 6676642.724819115),704
76442,980,POINT (25506551.95971111 6676642.724819115),704
76443,980,POINT (25506582.28766849 6676665.664050723),704
76444,980,POINT (25506515.63441332 6676751.713947467),704
76445,980,POINT (25506515.63441332 6676751.713947467),704
76446,980,POINT (25506586.70972417 6676750.86065476),704
76447,980,POINT (25506586.70972417 6676750.86065476),704
76448,980,POINT (25506551.17387849 6676734.775284466),704
76449,980,POINT (25506584.10851245 6676704.752046038),704
76450,980,POINT (25506584.10851245 6676704.752046038),704
76451,980,POINT (25506591.31983455 6676830.052291147),704
76452,980,POINT (25506591.31983455 6676830.052291147),704
76453,980,POINT (25506591.31983455 6676830.052291147),704
76454,980,POINT (25506591.31983455 6676830.052291147),704
76455,980,POINT (25506502.21593962 6676435.068252003),704
76456,980,POINT (25506504.21565452 6676402.103832002),704
76457,980,POINT (25506536.96674148 6676411.108847867),704
76458,980,POINT (25506472.40284646 6676593.281770959),704
76459,980,POINT (25506469.73554568 6676549.167485558),704
76460,980,POINT (25506443.55763295 6676587.403844352),704
76461,980,POINT (25506468.00740768 6676507.093775219),704
76462,980,POINT (25506470.15981576 6676469.127028759),704
76463,980,POINT (25506441.13406575 6676502.266663237),704
76464,980,POINT (25506480.03756029 6676572.50505856),704
76465,980,POINT (25506480.67411654 6676485.456913522),704
76466,980,POINT (25506462.12730286 6676734.071107874),704
76467,980,POINT (25506435.62052598 6676717.256320295),704
76468,980,POINT (25506442.55701385 6676686.450863871),704
76469,980,POINT (25506469.91759079 6676675.268378158),704
76470,980,POINT (25506470.94792031 6676707.324570829),704
76471,980,POINT (25506485.42977274 6676790.823038005),704
76472,980,POINT (25506501.27185287 6676829.334212783),704
76473,980,POINT (25506478.54912573 6676852.657868244),704
76474,980,POINT (25506452.31150435 6676859.864717225),704
76475,980,POINT (25506468.43062196 6676757.279042591),704
76476,980,POINT (25506532.87204463 6676909.342575326),704
76477,980,POINT (25506532.87204463 6676909.342575326),704
76478,980,POINT (25506532.87204463 6676909.342575326),704
76479,980,POINT (25506473.21698002 6676929.558896218),704
76480,980,POINT (25506479.67335526 6676881.717147424),704
76481,980,POINT (25507004.05751966 6676452.282735232),704
76482,980,POINT (25507034.86977477 6676459.216164007),704
76483,980,POINT (25507069.83149104 6676428.25414874),704
